id,n
_2,3
_3,3
_8,2
_9,1
_11,1
_13,1
_15,1
_16,2
_21,2
_25,1
_26,1
_27,2
_28,2
_41,1
_44,2
_46,1
_48,1
_50,1
_52,1
_55,1
_62,3
_96,1
_97,1
_118,1
_123,2
_134,1
_136,1
_137,1
_144,1
_170,1
_178,1
_195,1
_202,1
_212,1
_213,2
_220,1
_227,1
_228,1
_232,1
_234,3
_236,1
_243,1
_251,2
_253,1
_255,1
_257,1
_261,1
_262,1
_268,1
_269,1
_274,1
_276,1
_277,1
_323,1
_327,1
_333,2
_334,1
_341,1
_345,1
_351,2
_354,1
_356,1
_360,1
_361,1
_374,1
_378,1
_379,2
_380,1
_384,1
_385,1
_396,1
_397,1
_398,1
_406,1
_411,1
_413,5
